player_name,team,total_points,total_rebounds,total_assists,total_minutes,total_fga,total_fta,total_3pa,total_turnovers,games_played,points_per_game,rebounds_per_game,assists_per_game,minutes_per_game,turnovers_per_game,production_score,production_rank
Nikola Jokic,Nuggets,2301.0,1015.0,785.0,2962.0,1550.0,518.0,378.0,271.0,79,29.126582278481013,12.848101265822784,9.936708860759493,37.49367088607595,3.430379746835443,59.44936708860759,1.0
Giannis Antetokounmpo,Bucks,2036.0,823.0,424.0,2306.0,1326.0,708.0,58.0,219.0,69,29.507246376811594,11.927536231884059,6.144927536231884,33.42028985507246,3.1739130434782608,53.03768115942029,2.0
Luka Doncic,Mavericks,619.0,183.0,172.0,782.0,466.0,146.0,212.0,75.0,22,28.136363636363637,8.318181818181818,7.818181818181818,35.54545454545455,3.409090909090909,49.845454545454544,3.0
Luka Doncic,Lakers,755.0,219.0,198.0,966.0,537.0,241.0,262.0,109.0,27,27.962962962962962,8.11111111111111,7.333333333333333,35.77777777777778,4.037037037037037,48.696296296296296,4.0
Shai Gilgeous-Alexander,Thunder,3053.0,485.0,602.0,3317.0,2070.0,848.0,529.0,234.0,96,31.802083333333332,5.052083333333333,6.270833333333333,34.552083333333336,2.4375,47.27083333333333,5.0
LeBron James,Lakers,1697.0,552.0,565.0,2427.0,1264.0,332.0,395.0,260.0,69,24.594202898550726,8.0,8.18840579710145,35.17391304347826,3.7681159420289854,46.4768115942029,6.0
Cade Cunningham,Pistons,1919.0,464.0,678.0,2635.0,1538.0,401.0,435.0,335.0,76,25.25,6.105263157894737,8.921052631578947,34.671052631578945,4.407894736842105,45.95789473684211,7.0
Domantas Sabonis,Kings,1224.0,889.0,398.0,2230.0,814.0,267.0,143.0,196.0,64,19.125,13.890625,6.21875,34.84375,3.0625,45.121875,8.0
Trae Young,Hawks,1738.0,226.0,810.0,2566.0,1302.0,531.0,601.0,333.0,72,24.13888888888889,3.138888888888889,11.25,35.638888888888886,4.625,44.78055555555555,9.0
Jayson Tatum,Celtics,2038.0,674.0,440.0,2776.0,1542.0,464.0,762.0,221.0,80,25.475,8.425,5.5,34.7,2.7625,43.835,10.0
Anthony Davis,Lakers,1081.0,499.0,141.0,1440.0,758.0,321.0,94.0,93.0,44,24.568181818181817,11.340909090909092,3.2045454545454546,32.72727272727273,2.1136363636363638,42.9840909090909,11.0
Victor Wembanyama,Spurs,1116.0,506.0,168.0,1526.0,857.0,189.0,403.0,149.0,46,24.26086956521739,11.0,3.652173913043478,33.17391304347826,3.239130434782609,42.93913043478261,12.0
James Harden,Clippers,1689.0,449.0,669.0,2710.0,1234.0,542.0,641.0,325.0,76,22.223684210526315,5.907894736842105,8.802631578947368,35.6578947368421,4.276315789473684,42.51710526315789,13.0
LaMelo Ball,Hornets,1141.0,228.0,326.0,1442.0,971.0,221.0,514.0,158.0,45,25.355555555555554,5.066666666666666,7.2444444444444445,32.044444444444444,3.511111111111111,42.30222222222222,14.0
Paolo Banchero,Magic,1219.0,354.0,222.0,1631.0,943.0,398.0,268.0,136.0,47,25.93617021276596,7.531914893617022,4.723404255319149,34.702127659574465,2.893617021276596,42.0595744680851,15.0
Anthony Davis,Mavericks,109.0,52.0,25.0,155.0,101.0,28.0,22.0,3.0,5,21.8,10.4,5.0,31.0,0.6,41.78,16.0
Devin Booker,Suns,1795.0,277.0,478.0,2573.0,1309.0,456.0,520.0,198.0,69,26.014492753623188,4.0144927536231885,6.927536231884058,37.289855072463766,2.869565217391304,41.2231884057971,17.0
Anthony Edwards,Timberwolves,2343.0,537.0,415.0,3207.0,1767.0,545.0,858.0,268.0,88,26.625,6.1022727272727275,4.715909090909091,36.44318181818182,3.0454545454545454,41.021590909090904,18.0
Jalen Brunson,Knicks,2205.0,247.0,596.0,2955.0,1578.0,584.0,522.0,216.0,83,26.566265060240966,2.9759036144578315,7.180722891566265,35.602409638554214,2.602409638554217,40.90843373493976,19.0
Kevin Durant,Suns,1545.0,352.0,253.0,2144.0,1057.0,340.0,350.0,179.0,58,26.637931034482758,6.068965517241379,4.362068965517241,36.96551724137931,3.086206896551724,40.46379310344827,20.0
De'Aaron Fox,Kings,1124.0,225.0,276.0,1665.0,883.0,246.0,286.0,133.0,45,24.977777777777778,5.0,6.133333333333334,37.0,2.9555555555555557,40.17777777777778,21.0
Karl-Anthony Towns,Knicks,1981.0,1048.0,219.0,2924.0,1382.0,465.0,386.0,203.0,89,22.258426966292134,11.775280898876405,2.460674157303371,32.853932584269664,2.2808988764044944,40.07977528089887,22.0
Damian Lillard,Bucks,1491.0,284.0,428.0,2204.0,1031.0,407.0,550.0,169.0,62,24.048387096774192,4.580645161290323,6.903225806451613,35.54838709677419,2.725806451612903,39.9,23.0
Ja Morant,Grizzlies,1144.0,202.0,368.0,1529.0,891.0,314.0,277.0,185.0,51,22.431372549019606,3.9607843137254903,7.215686274509804,29.980392156862745,3.627450980392157,38.0078431372549,24.0
Franz Wagner,Magic,1462.0,348.0,289.0,2079.0,1188.0,315.0,360.0,142.0,61,23.9672131147541,5.704918032786885,4.737704918032787,34.08196721311475,2.3278688524590163,37.91967213114754,25.0
Alperen Sengun,Rockets,1472.0,809.0,368.0,2429.0,1171.0,431.0,95.0,199.0,80,18.4,10.1125,4.6,30.3625,2.4875,37.434999999999995,26.0
Donovan Mitchell,Cavaliers,1836.0,335.0,363.0,2361.0,1422.0,415.0,677.0,154.0,75,24.48,4.466666666666667,4.84,31.48,2.0533333333333332,37.1,27.0
Kyrie Irving,Mavericks,1234.0,240.0,231.0,1801.0,945.0,214.0,359.0,111.0,51,24.19607843137255,4.705882352941177,4.529411764705882,35.31372549019608,2.176470588235294,36.63725490196079,28.0
Zach LaVine,Bulls,1007.0,202.0,189.0,1437.0,710.0,182.0,305.0,121.0,42,23.976190476190474,4.809523809523809,4.5,34.214285714285715,2.880952380952381,36.49761904761905,29.0
Scottie Barnes,Raptors,1118.0,444.0,331.0,1911.0,947.0,278.0,251.0,165.0,59,18.949152542372882,7.52542372881356,5.610169491525424,32.389830508474574,2.7966101694915255,36.39491525423729,30.0
Dejounte Murray,Pelicans,542.0,200.0,228.0,1012.0,494.0,124.0,174.0,106.0,31,17.483870967741936,6.451612903225806,7.354838709677419,32.645161290322584,3.4193548387096775,36.25806451612903,31.0
Tyler Herro,Heat,1783.0,385.0,407.0,2688.0,1347.0,312.0,671.0,204.0,79,22.569620253164558,4.8734177215189876,5.151898734177215,34.0253164556962,2.5822784810126582,36.14556962025316,32.0
Stephen Curry,Warriors,1761.0,337.0,434.0,2368.0,1290.0,305.0,805.0,214.0,79,22.29113924050633,4.265822784810126,5.493670886075949,29.974683544303797,2.7088607594936707,35.65063291139241,33.0
Miles Bridges,Hornets,1175.0,436.0,218.0,1822.0,968.0,233.0,400.0,120.0,57,20.614035087719298,7.649122807017544,3.824561403508772,31.964912280701753,2.1052631578947367,35.52982456140351,34.0
Nikola Vucevic,Bulls,1282.0,700.0,243.0,2178.0,980.0,144.0,309.0,110.0,70,18.314285714285713,10.0,3.4714285714285715,31.114285714285714,1.5714285714285714,35.52142857142857,35.0
Zion Williamson,Pelicans,737.0,216.0,159.0,856.0,508.0,241.0,13.0,90.0,35,21.057142857142857,6.171428571428572,4.542857142857143,24.457142857142856,2.5714285714285716,35.277142857142856,36.0
Ivica Zubac,Clippers,1278.0,954.0,194.0,2552.0,904.0,224.0,0.0,127.0,77,16.5974025974026,12.38961038961039,2.5194805194805197,33.142857142857146,1.6493506493506493,35.24415584415585,37.0
Tyrese Haliburton,Pacers,1638.0,360.0,799.0,3032.0,1232.0,274.0,678.0,164.0,93,17.612903225806452,3.870967741935484,8.591397849462366,32.60215053763441,1.7634408602150538,35.14516129032258,38.0
De'Aaron Fox,Spurs,335.0,73.0,116.0,577.0,280.0,72.0,95.0,41.0,17,19.705882352941178,4.294117647058823,6.823529411764706,33.94117647058823,2.411764705882353,35.09411764705882,39.0
Jamal Murray,Nuggets,1641.0,309.0,453.0,2866.0,1290.0,286.0,467.0,178.0,77,21.31168831168831,4.012987012987013,5.883116883116883,37.22077922077922,2.311688311688312,34.95194805194805,40.0
RJ Barrett,Raptors,1130.0,342.0,297.0,1741.0,901.0,293.0,277.0,154.0,57,19.82456140350877,6.0,5.2105263157894735,30.54385964912281,2.7017543859649122,34.84035087719298,41.0
Brandon Ingram,Pelicans,400.0,100.0,93.0,594.0,333.0,55.0,115.0,69.0,19,21.05263157894737,5.2631578947368425,4.894736842105263,31.263157894736842,3.6315789473684212,34.71052631578948,42.0
Bam Adebayo,Heat,1333.0,751.0,330.0,2628.0,1065.0,310.0,219.0,162.0,79,16.873417721518987,9.50632911392405,4.177215189873418,33.265822784810126,2.050632911392405,34.54683544303797,43.0
Julius Randle,Timberwolves,1487.0,522.0,364.0,2546.0,1073.0,384.0,359.0,231.0,77,19.31168831168831,6.779220779220779,4.7272727272727275,33.064935064935064,3.0,34.53766233766234,44.0
Jalen Williams,Thunder,1888.0,481.0,454.0,2939.0,1508.0,408.0,437.0,184.0,92,20.52173913043478,5.228260869565218,4.934782608695652,31.945652173913043,2.0,34.19782608695652,45.0
Desmond Bane,Grizzlies,1302.0,423.0,359.0,2207.0,1011.0,204.0,423.0,177.0,69,18.869565217391305,6.130434782608695,5.202898550724638,31.985507246376812,2.5652173913043477,34.030434782608694,46.0
Austin Reaves,Lakers,1430.0,325.0,413.0,2523.0,1024.0,346.0,531.0,180.0,72,19.86111111111111,4.513888888888889,5.736111111111111,35.041666666666664,2.5,33.88194444444444,47.0
Josh Giddey,Bulls,963.0,526.0,465.0,2013.0,761.0,205.0,270.0,192.0,68,14.161764705882353,7.735294117647059,6.838235294117647,29.602941176470587,2.823529411764706,33.701470588235296,48.0
Pascal Siakam,Pacers,1963.0,652.0,321.0,3135.0,1439.0,411.0,388.0,134.0,96,20.447916666666668,6.791666666666667,3.34375,32.65625,1.3958333333333333,33.61354166666667,49.0
DeMar DeRozan,Kings,1601.0,278.0,300.0,2558.0,1202.0,408.0,234.0,99.0,71,22.549295774647888,3.915492957746479,4.225352112676056,36.028169014084504,1.3943661971830985,33.585915492957746,50.0
Evan Mobley,Cavaliers,1352.0,672.0,217.0,2236.0,918.0,307.0,233.0,142.0,74,18.27027027027027,9.08108108108108,2.9324324324324325,30.216216216216218,1.9189189189189189,33.56621621621622,51.0
Jaylen Brown,Celtics,1553.0,427.0,317.0,2452.0,1254.0,370.0,399.0,193.0,76,20.43421052631579,5.618421052631579,4.171052631578948,32.26315789473684,2.539473684210526,33.4328947368421,52.0
Zach LaVine,Kings,598.0,92.0,101.0,966.0,422.0,85.0,189.0,72.0,26,23.0,3.5384615384615383,3.8846153846153846,37.15384615384615,2.769230769230769,33.073076923076925,53.0
Kawhi Leonard,Clippers,735.0,207.0,116.0,1123.0,576.0,121.0,176.0,70.0,35,21.0,5.914285714285715,3.3142857142857145,32.08571428571429,2.0,33.06857142857143,54.0
Jimmy Butler III,Warriors,657.0,214.0,204.0,1174.0,428.0,283.0,89.0,49.0,37,17.756756756756758,5.783783783783784,5.513513513513513,31.72972972972973,1.3243243243243243,32.96756756756757,55.0
Josh Hart,Knicks,1174.0,842.0,484.0,3324.0,851.0,253.0,284.0,182.0,89,13.191011235955056,9.460674157303371,5.438202247191011,37.348314606741575,2.044943820224719,32.701123595505614,56.0
Brandon Miller,Hornets,568.0,131.0,98.0,925.0,491.0,79.0,293.0,76.0,27,21.037037037037038,4.851851851851852,3.6296296296296298,34.25925925925926,2.814814814814815,32.303703703703704,57.0
Tyrese Maxey,76ers,1369.0,174.0,317.0,1963.0,1091.0,289.0,478.0,124.0,64,21.390625,2.71875,4.953125,30.671875,1.9375,32.0828125,58.0
Quentin Grimes,76ers,487.0,113.0,94.0,736.0,359.0,95.0,164.0,62.0,24,20.291666666666668,4.708333333333333,3.9166666666666665,30.666666666666668,2.5833333333333335,31.816666666666666,59.0
John Collins,Jazz,758.0,327.0,80.0,1220.0,531.0,164.0,148.0,103.0,40,18.95,8.175,2.0,30.5,2.575,31.759999999999998,60.0
Jaren Jackson Jr.,Grizzlies,1621.0,409.0,152.0,2215.0,1206.0,401.0,382.0,157.0,74,21.905405405405407,5.527027027027027,2.054054054054054,29.93243243243243,2.1216216216216215,31.618918918918922,61.0
Darius Garland,Cavaliers,1519.0,198.0,494.0,2257.0,1149.0,259.0,524.0,189.0,80,18.9875,2.475,6.175,28.2125,2.3625,31.22,62.0
Coby White,Bulls,1431.0,258.0,315.0,2338.0,1078.0,279.0,571.0,168.0,71,20.154929577464788,3.6338028169014085,4.436619718309859,32.929577464788736,2.3661971830985915,31.170422535211266,63.0
Jalen Green,Rockets,1649.0,381.0,274.0,2681.0,1394.0,310.0,657.0,195.0,81,20.358024691358025,4.703703703703703,3.382716049382716,33.098765432098766,2.4074074074074074,31.076543209876547,64.0
Trey Murphy III,Pelicans,1124.0,268.0,188.0,1856.0,839.0,230.0,438.0,103.0,56,20.071428571428573,4.785714285714286,3.357142857142857,33.142857142857146,1.8392857142857142,30.85,65.0
Joel Embiid,76ers,452.0,155.0,85.0,574.0,315.0,169.0,77.0,62.0,25,18.08,6.2,3.4,22.96,2.48,30.619999999999997,66.0
Jordan Poole,Wizards,1292.0,195.0,289.0,1907.0,1001.0,258.0,586.0,196.0,64,20.1875,3.046875,4.515625,29.796875,3.0625,30.6171875,67.0
Dennis Schroder,Nets,424.0,68.0,152.0,771.0,325.0,81.0,150.0,59.0,24,17.666666666666668,2.8333333333333335,6.333333333333333,32.125,2.4583333333333335,30.566666666666666,68.0
Malik Monk,Kings,1082.0,234.0,349.0,1967.0,900.0,174.0,410.0,153.0,62,17.451612903225808,3.774193548387097,5.629032258064516,31.725806451612904,2.467741935483871,30.4241935483871,69.0
Mark Williams,Hornets,597.0,392.0,97.0,1018.0,407.0,153.0,3.0,58.0,40,14.925,9.8,2.425,25.45,1.45,30.3225,70.0
Jalen Johnson,Hawks,680.0,359.0,181.0,1285.0,542.0,126.0,141.0,106.0,48,14.166666666666666,7.479166666666667,3.7708333333333335,26.770833333333332,2.2083333333333335,28.797916666666666,71.0
